Column1,time,topicName,query,hotPos,popular,id,active_time_hr,climbing_time,top_hotPos,max_span_up_hotPos,max_span_down_hotPos,hotPos_flucation_avg_span,max_span_up_popular,max_span_down_popular,popular_avg,is_business_day
34,2021-12-05 05:00:00,Bama,Bama,5,127000,M_002,1342.0,999.0,1,8.0,12.0,2.5588235294117645,23800.0,75400.0,47820.58823529412,1
35,2021-12-05 04:00:00,Bama,Bama,4,120000,M_002,1341.0,999.0,1,8.0,12.0,2.606060606060606,23800.0,75400.0,45421.21212121212,1
36,2021-12-05 03:00:00,Bama,Bama,1,115000,M_002,1340.0,999.0,1,8.0,12.0,2.59375,23800.0,75400.0,43090.625,1
37,2021-12-05 00:00:00,Bama,Bama,1,75200,M_002,1337.0,999.0,1,8.0,12.0,2.8620689655172415,15200.0,75400.0,36479.31034482759,1
38,2021-12-05 01:00:00,Bama,Bama,1,99000,M_002,1338.0,999.0,1,8.0,12.0,2.7666666666666666,23800.0,75400.0,38563.333333333336,1
39,2021-12-04 23:00:00,Bama,Bama,1,61500,M_002,1336.0,999.0,1,8.0,12.0,2.9642857142857144,15200.0,75400.0,35096.42857142857,1
40,2021-12-05 07:00:00,Bama,Bama,6,130000,M_002,1344.0,999.0,1,8.0,12.0,2.5,23800.0,75400.0,52358.333333333336,1
41,2021-12-04 22:00:00,Bama,Bama,1,46300,M_002,1335.0,999.0,1,8.0,12.0,3.074074074074074,14800.0,75400.0,34118.51851851852,1
42,2021-12-05 02:00:00,Bama,Bama,1,107000,M_002,1339.0,999.0,1,8.0,12.0,2.6774193548387095,23800.0,75400.0,40770.967741935485,1
43,2021-12-05 08:00:00,Bama,Bama,6,131000,M_002,1345.0,999.0,1,8.0,12.0,2.4324324324324325,23800.0,75400.0,54483.78378378379,1
44,2022-01-01 03:00:00,Bama,Bama,5,86400,M_002,1988.0,999.0,1,8.0,12.0,2.159090909090909,45400.0,118000.0,51988.63636363636,1
45,2021-12-31 18:00:00,Bama,Bama,5,14200,M_002,1979.0,999.0,1,8.0,12.0,2.3846153846153846,23800.0,118000.0,52387.179487179485,0
46,2021-12-31 19:00:00,Bama,Bama,4,16200,M_002,1980.0,999.0,1,8.0,12.0,2.35,23800.0,118000.0,51482.5,0
47,2021-12-31 20:00:00,Bama,Bama,4,26200,M_002,1981.0,999.0,1,8.0,12.0,2.292682926829268,23800.0,118000.0,50865.85365853659,0
48,2021-12-31 21:00:00,Bama,Bama,4,35100,M_002,1982.0,999.0,1,8.0,12.0,2.238095238095238,23800.0,118000.0,50490.47619047619,0
49,2022-01-01 02:00:00,Bama,Bama,4,80500,M_002,1987.0,999.0,1,8.0,12.0,2.186046511627907,45400.0,118000.0,51188.37209302326,1
50,2022-01-01 04:00:00,Bama,Bama,8,91400,M_002,1989.0,999.0,1,8.0,12.0,2.1777777777777776,45400.0,118000.0,52864.444444444445,1
51,2022-01-01 06:00:00,Bama,Bama,12,93900,M_002,1991.0,999.0,1,8.0,12.0,2.217391304347826,45400.0,118000.0,53756.52173913043,1
52,2022-01-11 08:00:00,Bama,Bama,1,144000,M_002,2233.0,999.0,1,8.0,12.0,2.404255319148936,50100.0,118000.0,55676.59574468085,0
